Time,Jogador,Rating,Colocação
Chapecoense,Denner Melz,6.71,340
Fortaleza,Matheus Jussa,6.66,381
Red Bull Bragantino,Gabriel Novaes,6.66,382
Fortaleza,Bruno Melo,6.66,383
Chapecoense,Moisés Ribeiro,6.66,384
Santos,Gabriel Pirani,6.66,385
Bahia,Rodriguinho,6.66,386
Chapecoense,Jordan,6.66,387
Cuiabá,Uillian Correia,6.66,388
Atlético Goianiense,André Luís,6.66,389
Sport Recife,Thiago Neves,6.66,390
Juventude,Didi,6.66,391
Atlético Goianiense,Brian Montenegro,6.66,392
Chapecoense,Joilson,6.65,393
Chapecoense,Ezequiel,6.65,394
América Mineiro,João Paulo,6.65,395
Chapecoense,Derlan,6.65,396
Chapecoense,Fernandinho,6.65,397
Fluminense,Manoel,6.65,398
Athletico,Nicolás Hernández,6.65,399
Athletico,Pedrinho,6.65,400
Fortaleza,Romarinho,6.57,441
Bahia,Maycon Douglas,6.57,442
Bahia,Thonny Anderson,6.57,443
São Paulo,Joao Rojas,6.56,444
Fluminense,Wellington,6.56,445
Palmeiras,Mayke,6.56,446
Santos,Moraes,6.55,447
Palmeiras,Gabriel Veron,6.55,448
Bahia,Ronaldo,6.55,449
Internacional,Paulo Victor,6.54,450
Athletico,Fernando Canesin,6.54,451
Red Bull Bragantino,Emiliano Martínez,6.54,452
Santos,Vinicius Balieiro,6.54,453
Juventude,Bruninho,6.54,454
Santos,Raniel,6.54,455
Juventude,Roberson,6.54,456
Fluminense,Gabriel Teixeira,6.52,457
Juventude,Fernando Pacheco,6.50,458
Atlético Goianiense,Ronald,6.50,459
Red Bull Bragantino,Weverson,6.49,460
São Paulo,Reinaldo,7.08,41
Cuiabá,Walter,7.08,42
Sport Recife,Zé Welison,7.08,43
Palmeiras,Dudu,7.08,44
Ceará,Luiz Otávio,7.08,45
Atlético Mineiro,Mariano,7.07,46
Internacional,Taison,7.07,47
Atlético Goianiense,Arthur Gomes,7.07,48
Athletico,Pedro Henrique,7.07,49
Atlético Mineiro,Nathan Silva,7.07,50
Fluminense,Marcos Felipe,7.07,51
Athletico,Matheus Babi,7.06,52
Corinthians,Victor Cantillo,7.06,53
Bahia,Raí Nascimento,7.06,54
Fortaleza,Marcelo Benevenuto,7.06,55
São Paulo,Tiago Volpi,7.06,56
Atlético Mineiro,Keno,7.05,57
Flamengo,Andreas Pereira,7.05,58
Grêmio,Ferreira,7.05,59
Atlético Mineiro,Nacho Fernández,7.05,60
Ceará,Richard,6.98,101
Atlético Mineiro,Jair,6.98,102
Cuiabá,Pepê,6.98,103
Flamengo,Diego,6.98,104
Corinthians,Gil,6.98,105
Fortaleza,Tinga,6.97,106
Juventude,Vitor Mendes,6.97,107
Palmeiras,Luan,6.97,108
Santos,Guilherme Camacho,6.97,109
Atlético Goianiense,Lucas Oliveira,6.97,110
Atlético Goianiense,Natanael,6.97,111
América Mineiro,Alê,6.97,112
Bahia,Luiz Otávio,6.97,113
Atlético Mineiro,Matías Zaracho,6.97,114
Sport Recife,Sabino,6.96,115
Athletico,Marcinho,6.96,116
Flamengo,Willian Arão,6.96,117
América Mineiro,Eduardo Bauermann,6.96,118
Flamengo,Matheuzinho,6.96,119
Ceará,Messias,6.96,120
Atlético Mineiro,Guga,6.90,161
Flamengo,Diego Alves,6.90,162
Fluminense,Luiz Henrique,6.90,163
Fortaleza,Robson,6.90,164
Atlético Mineiro,Diego Costa,6.90,165
Ceará,Jorginho,6.90,166
Flamengo,Renê,6.90,167
Red Bull Bragantino,Raul,6.90,168
Fluminense,André,6.90,169
Grêmio,Jean Pyerre,6.90,170
Athletico,Abner Vinícius,6.89,171
Sport Recife,Everaldo,6.89,172
São Paulo,Igor Vinícius,6.89,173
Grêmio,Alisson,6.89,174
Ceará,Lima,6.88,175
Atlético Mineiro,Allan,6.88,176
Cuiabá,Élton,6.88,177
Atlético Goianiense,Éder,6.88,178
Fortaleza,Felipe,6.88,179
Santos,Marcos Leonardo,6.88,180
Bahia,Raniele,6.85,221
Ceará,Buiu,6.85,222
Palmeiras,Joaquín Piquerez,6.84,223
Flamengo,Ramon,6.84,224
Athletico,Santos,6.84,225
Fortaleza,Titi,6.84,226
Cuiabá,Alan Empereur,6.84,227
Athletico,Richard Coelho,6.84,228
Athletico,Nicolas,6.84,229
Grêmio,Walter Kannemann,6.84,230
Ceará,Erick,6.83,231
Chapecoense,Ignácio,6.83,232
Red Bull Bragantino,Edimar,6.83,233
Fortaleza,David,6.83,234
Santos,Madson,6.82,235
Juventude,Michel Macedo,6.82,236
Chapecoense,Matheus Ribeiro,6.82,237
São Paulo,Léo,6.82,238
Grêmio,Mathias Villasanti,6.82,239
Athletico,Zé Ivaldo,6.82,240
